"Class Group","Student's Gender","Average Course Evaluation Rating","Likes","Wishes"
"A","Male",4.8182,"it is well taught and the assessment are helping me learn","none"
"A","Male",4.4545,"the unit is interesting and nice to learn  the unit has interesting labs","i am enjoying the course as it is"
"A","Female",4.0909,"i like the lab manuals and how the lecturer guides us on how to do them","i would recommend the lecturer gives us some group work"
"A","Female",4.2727,"it is very detailed","nothing much"
"A","Female",4.5455,"the teaching is very detailed  ","learning materials like revision papers"
"A","Male",5,"real world applicationsthe manner in which it structured","a bit more emphasis on the labs to develop better understanding of the models and concepts in practice  "
"A","Female",4.9091,"actual examples that help better my understanding and the hands on labs make the theory easier to understand","if we do get stuck on the labs some assistance to better understand them would be nice"
"A","Male",4.2727,"it is easy to understand  well prsented in a fluent manner",""
"A","Male",4.7273,"it is very engaging","student involvement  "
"A","Female",5,"everything is understadable","to reduce number of slides"
"A","Female",4.2727,"how bi can be used in churn customer prediction and lecturer confirms everyone has understood the topic","na"
"A","Male",4.7273,"willing to help and assist","the lab manuals to be given the a week to complete"
"A","Female",4.5455,"i like how the lecturer explains the concepts in thus unit","more quizzes"
"A","Male",4,"data entry  data intergation",""
"A","Male",5,"its very broad and focuses on the business aspect technological wise  there is detailed information that i can use for my project and knowledge on how businesses run","more practical assignments and quizzes"
"A","Male",5,"the method of delivery is like no other  the lecturer is understanding and ensures everyone is at par after every concept","non at the moment"
"A","Male",3.9091,"the labs and the lectures","reduce the amount of coursework"
"A","Male",4.4545,"teacher method of teaching","nothing for now"
"A","Female",5,"topics are well explained  a fun lecturer","perfectooo"
"A","Male",4.1818,"1 how understanding the lecturer is  2 how the lectures are well conveyed to us","i am satisfied"
"A","Female",4.8182,"how the knowledge is delivered   bi is interesting","none"
"A","Female",4.7273,"i like the way we are doing quizz after each topic it help me to learn  i like the way lab are being hundle","everything is okay no comment so far"
"A","Male",4.9091,"the quizzes being done after every topic makes me revise in advance","none"
"B","Male",4.9091,"it is very detailed and understandable","it is already at its best"
"B","Male",4.7273,"systematic  well explained","just a little flexibility in operations eg make up cats"
"B","Male",4.1818,"the lecturer is thorough in his workthe notes provided are comprehensive and useful","the lecturer could be more lively and interactive in class as well as using examples that could help better understand concepts as they are complex"
"B","Male",4.8182,"1 the unit is very informative and engaging  2the unit provides a clear description of our career path","everything is going good"
"B","Female",4.6364,"clear notes  lecture explains the notes very well","short and precise notes"
"B","Male",4.2727,"good","improve on class engagement"
"B","Male",4.3636,"the constant testing is really important  the labs help us understand more","we just need to pass with flying colours"
"B","Male",4.7273,"how it can be applied in the job market  the practicality of the unit and how it ties in well to my is project","let it be more easier to read too many slides to cover"
"B","Female",5,"the delivery of content  ","na"
"B","Female",4.5455,"the labs give more insights  the lecturers teaching method","until now i am good with how things are going"
"B","Male",4.8182,"1 content delivery well written notesslides for revision even outside class  2 video content","give more explanation during class disscussions"
"B","Female",4.8182,"helpful responses from the lecturer  interactive sessions for learning purposes","more explanation in simpler terms in the lab activities for example like this step is for "
